Array_No,Type,Size,Passes,Comparisons,Shifts
1,S,399,398,79401,40573
2,S,399,398,79401,39630
3,S,399,398,79401,40668
4,S,399,398,79401,40532
5,S,399,398,79401,39099
6,S,399,398,79401,38602
7,S,399,398,79401,40256
8,S,399,398,79401,38283
9,A,399,398,79401,0
10,D,399,398,79401,79329
AVG,AVG,399,398,79401,39697.2
11,S,454,453,102831,55724
12,S,454,453,102831,50022
13,S,454,453,102831,50962
14,S,454,453,102831,49652
15,S,454,453,102831,52938
16,S,454,453,102831,51002
17,S,454,453,102831,53491
18,S,454,453,102831,51568
19,A,454,453,102831,0
20,D,454,453,102831,102709
AVG,AVG,454,453,102831,51806.8
21,S,262,261,34191,16272
22,S,262,261,34191,16082
23,S,262,261,34191,17211
24,S,262,261,34191,16753
25,S,262,261,34191,17210
26,S,262,261,34191,18470
27,S,262,261,34191,17688
28,S,262,261,34191,16630
29,A,262,261,34191,0
30,D,262,261,34191,34155
AVG,AVG,262,261,34191,17047.1
31,S,595,594,176715,89834
32,S,595,594,176715,91920
33,S,595,594,176715,88323
34,S,595,594,176715,85788
35,S,595,594,176715,90193
36,S,595,594,176715,88762
37,S,595,594,176715,90324
38,S,595,594,176715,85760
39,A,595,594,176715,0
40,D,595,594,176715,176553
AVG,AVG,595,594,176715,88745.7
41,S,759,758,287661,140100
42,S,759,758,287661,144916
43,S,759,758,287661,140977
44,S,759,758,287661,148223
45,S,759,758,287661,146643
46,S,759,758,287661,140385
47,S,759,758,287661,141893
48,S,759,758,287661,145489
49,A,759,758,287661,0
50,D,759,758,287661,287371
AVG,AVG,759,758,287661,143600
51,S,896,895,400960,194556
52,S,896,895,400960,198149
53,S,896,895,400960,197701
54,S,896,895,400960,198814
55,S,896,895,400960,198449
56,S,896,895,400960,201926
57,S,896,895,400960,200069
58,S,896,895,400960,200736
59,A,896,895,400960,0
60,D,896,895,400960,400584
AVG,AVG,896,895,400960,199098
61,S,940,939,441330,222211
62,S,940,939,441330,216096
63,S,940,939,441330,218299
64,S,940,939,441330,233989
65,S,940,939,441330,213141
66,S,940,939,441330,213896
67,S,940,939,441330,218890
68,S,940,939,441330,217320
69,A,940,939,441330,0
70,D,940,939,441330,440876
AVG,AVG,940,939,441330,219472
71,S,805,804,323610,166354
72,S,805,804,323610,161977
73,S,805,804,323610,159812
74,S,805,804,323610,168710
75,S,805,804,323610,158529
76,S,805,804,323610,164229
77,S,805,804,323610,155538
78,S,805,804,323610,160656
79,A,805,804,323610,0
80,D,805,804,323610,323255
AVG,AVG,805,804,323610,161906
81,S,928,927,430128,213598
82,S,928,927,430128,220994
83,S,928,927,430128,217511
84,S,928,927,430128,214008
85,S,928,927,430128,212705
86,S,928,927,430128,209712
87,S,928,927,430128,212431
88,S,928,927,430128,212327
89,A,928,927,430128,0
90,D,928,927,430128,429731
AVG,AVG,928,927,430128,214302
91,S,62,61,1891,945
92,S,62,61,1891,935
93,S,62,61,1891,798
94,S,62,61,1891,920
95,S,62,61,1891,989
96,S,62,61,1891,1016
97,S,62,61,1891,1108
98,S,62,61,1891,914
99,A,62,61,1891,0
100,D,62,61,1891,1890
AVG,AVG,62,61,1891,951.5
101,S,592,591,174936,87767
102,S,592,591,174936,87491
103,S,592,591,174936,86981
104,S,592,591,174936,83294
105,S,592,591,174936,88602
106,S,592,591,174936,85664
107,S,592,591,174936,89518
108,S,592,591,174936,89695
109,A,592,591,174936,0
110,D,592,591,174936,174753
AVG,AVG,592,591,174936,87376.5
111,S,902,901,406351,200619
112,S,902,901,406351,200116
113,S,902,901,406351,201780
114,S,902,901,406351,208074
115,S,902,901,406351,201932
116,S,902,901,406351,206215
117,S,902,901,406351,191316
118,S,902,901,406351,204794
119,A,902,901,406351,0
120,D,902,901,406351,405932
AVG,AVG,902,901,406351,202078
121,S,119,118,7021,3191
122,S,119,118,7021,3556
123,S,119,118,7021,3376
124,S,119,118,7021,3268
125,S,119,118,7021,3690
126,S,119,118,7021,3463
127,S,119,118,7021,3714
128,S,119,118,7021,3714
129,A,119,118,7021,0
130,D,119,118,7021,7015
AVG,AVG,119,118,7021,3498.7
131,S,881,880,387640,192302
132,S,881,880,387640,193927
133,S,881,880,387640,196720
134,S,881,880,387640,196086
135,S,881,880,387640,190497
136,S,881,880,387640,189517
137,S,881,880,387640,191606
138,S,881,880,387640,194364
139,A,881,880,387640,0
140,D,881,880,387640,387244
AVG,AVG,881,880,387640,193226
141,S,399,398,79401,39562
142,S,399,398,79401,40431
143,S,399,398,79401,40060
144,S,399,398,79401,40931
145,S,399,398,79401,37037
146,S,399,398,79401,38656
147,S,399,398,79401,38956
148,S,399,398,79401,38582
149,A,399,398,79401,0
150,D,399,398,79401,79307
AVG,AVG,399,398,79401,39352.2
151,S,496,495,122760,61158
152,S,496,495,122760,63479
153,S,496,495,122760,62270
154,S,496,495,122760,61608
155,S,496,495,122760,61236
156,S,496,495,122760,59315
157,S,496,495,122760,64004
158,S,496,495,122760,60959
159,A,496,495,122760,0
160,D,496,495,122760,122651
AVG,AVG,496,495,122760,61668
161,S,534,533,142311,69097
162,S,534,533,142311,73007
163,S,534,533,142311,69944
164,S,534,533,142311,70647
165,S,534,533,142311,74754
166,S,534,533,142311,72182
167,S,534,533,142311,70701
168,S,534,533,142311,73119
169,A,534,533,142311,0
