Array_No,Type,Size,Comparisons,Swaps
1,S,399,5690,3095
2,S,399,5690,3098
3,S,399,5677,3102
4,S,399,5716,3117
5,S,399,5698,3106
6,S,399,5709,3125
7,S,399,5727,3138
8,S,399,5670,3097
9,A,399,5959,3336
10,D,399,5366,2817
AVG,AVG,399,5690.2,3103.1
11,S,454,6602,3585
12,S,454,6651,3646
13,S,454,6655,3621
14,S,454,6635,3614
15,S,454,6639,3617
16,S,454,6649,3617
17,S,454,6660,3629
18,S,454,6635,3621
19,A,454,6928,3880
20,D,454,6253,3302
AVG,AVG,454,6630.7,3613.2
21,S,262,3408,1884
22,S,262,3414,1875
23,S,262,3409,1870
24,S,262,3405,1876
25,S,262,3380,1866
26,S,262,3409,1870
27,S,262,3424,1892
28,S,262,3409,1888
29,A,262,3558,2032
30,D,262,3190,1688
AVG,AVG,262,3400.6,1874.1
31,S,595,9172,4954
32,S,595,9091,4921
33,S,595,9167,4955
34,S,595,9166,5009
35,S,595,9163,4973
36,S,595,9158,4972
37,S,595,9144,4963
38,S,595,9148,4969
39,A,595,9582,5325
40,D,595,8637,4526
AVG,AVG,595,9142.8,4956.7
41,S,759,12226,6607
42,S,759,12253,6620
43,S,759,12235,6621
44,S,759,12269,6628
45,S,759,12183,6580
46,S,759,12181,6605
47,S,759,12243,6607
48,S,759,12225,6610
49,A,759,12792,7086
50,D,759,11541,6039
AVG,AVG,759,12214.8,6600.3
51,S,896,14870,8014
52,S,896,14877,8042
53,S,896,14897,8043
54,S,896,14831,7998
55,S,896,14837,8024
56,S,896,14847,8015
57,S,896,14816,7999
58,S,896,14875,8030
59,A,896,15493,8548
60,D,896,14056,7339
AVG,AVG,896,14839.9,8005.2
61,S,940,15737,8480
62,S,940,15716,8508
63,S,940,15676,8441
64,S,940,15653,8403
65,S,940,15679,8449
66,S,940,15680,8448
67,S,940,15716,8480
68,S,940,15717,8459
69,A,940,16341,9000
70,D,940,14900,7788
AVG,AVG,940,15681.5,8445.6
71,S,805,13090,7077
72,S,805,13039,7030
73,S,805,13107,7067
74,S,805,13069,7042
75,S,805,13122,7077
76,S,805,13063,7046
77,S,805,13124,7110
78,S,805,13140,7091
79,A,805,13709,7583
80,D,805,12384,6515
AVG,AVG,805,13084.7,7063.8
81,S,928,15430,8335
82,S,928,15468,8341
83,S,928,15433,8339
84,S,928,15468,8369
85,S,928,15509,8367
86,S,928,15512,8358
87,S,928,15505,8382
88,S,928,15482,8358
89,A,928,16120,8906
90,D,928,14672,7654
AVG,AVG,928,15459.9,8340.9
91,S,62,555,319
92,S,62,556,319
93,S,62,544,314
94,S,62,542,309
95,S,62,548,317
96,S,62,554,321
97,S,62,541,308
98,S,62,550,318
99,A,62,571,351
100,D,62,507,275
AVG,AVG,62,546.8,315.1
101,S,592,9126,4958
102,S,592,9093,4947
103,S,592,9092,4927
104,S,592,9092,4940
105,S,592,9096,4949
106,S,592,9073,4917
107,S,592,9125,4956
108,S,592,9145,4956
109,A,592,9531,5297
110,D,592,8587,4502
AVG,AVG,592,9096,4934.9
111,S,902,14942,8064
112,S,902,14962,8063
113,S,902,14924,8044
114,S,902,14947,8046
115,S,902,15006,8091
116,S,902,14944,8045
117,S,902,14983,8106
118,S,902,14962,8082
119,A,902,15595,8591
120,D,902,14213,7405
AVG,AVG,902,14947.8,8053.7
