Array_No,Type,Size,Passes,Comparisons,Shifts
1,S,399,398,40969,40573
2,S,399,398,40023,39630
3,S,399,398,41061,40668
4,S,399,398,40923,40532
5,S,399,398,39491,39099
6,S,399,398,38996,38602
7,S,399,398,40643,40256
8,S,399,398,38677,38283
9,A,399,398,398,0
10,D,399,398,79393,79329
AVG,AVG,399,398,40057.4,39697.2
11,S,454,453,56167,55724
12,S,454,453,50469,50022
13,S,454,453,51410,50962
14,S,454,453,50104,49652
15,S,454,453,53388,52938
16,S,454,453,51446,51002
17,S,454,453,53939,53491
18,S,454,453,52019,51568
19,A,454,453,453,0
20,D,454,453,102807,102709
AVG,AVG,454,453,52220.2,51806.8
21,S,262,261,16527,16272
22,S,262,261,16334,16082
23,S,262,261,17468,17211
24,S,262,261,17009,16753
25,S,262,261,17466,17210
26,S,262,261,18726,18470
27,S,262,261,17943,17688
28,S,262,261,16887,16630
29,A,262,261,261,0
30,D,262,261,34189,34155
AVG,AVG,262,261,17281,17047.1
31,S,595,594,90420,89834
32,S,595,594,92507,91920
33,S,595,594,88911,88323
34,S,595,594,86371,85788
35,S,595,594,90781,90193
36,S,595,594,89352,88762
37,S,595,594,90913,90324
38,S,595,594,86347,85760
39,A,595,594,594,0
40,D,595,594,176683,176553
AVG,AVG,595,594,89287.9,88745.7
41,S,759,758,140853,140100
42,S,759,758,145667,144916
43,S,759,758,141731,140977
44,S,759,758,148978,148223
45,S,759,758,147392,146643
46,S,759,758,141139,140385
47,S,759,758,142642,141893
48,S,759,758,146244,145489
49,A,759,758,758,0
50,D,759,758,287598,287371
AVG,AVG,759,758,144300,143600
51,S,896,895,195446,194556
52,S,896,895,199038,198149
53,S,896,895,198591,197701
54,S,896,895,199708,198814
55,S,896,895,199341,198449
56,S,896,895,202813,201926
57,S,896,895,200959,200069
58,S,896,895,201626,200736
59,A,896,895,895,0
60,D,896,895,400879,400584
AVG,AVG,896,895,199930,199098
61,S,940,939,223144,222211
62,S,940,939,217029,216096
63,S,940,939,219227,218299
64,S,940,939,234921,233989
65,S,940,939,214078,213141
66,S,940,939,214826,213896
67,S,940,939,219823,218890
68,S,940,939,218251,217320
69,A,940,939,939,0
70,D,940,939,441213,440876
AVG,AVG,940,939,220345,219472
71,S,805,804,167149,166354
72,S,805,804,162772,161977
73,S,805,804,160610,159812
74,S,805,804,169505,168710
75,S,805,804,159324,158529
76,S,805,804,165030,164229
77,S,805,804,156335,155538
78,S,805,804,161456,160656
79,A,805,804,804,0
80,D,805,804,323517,323255
AVG,AVG,805,804,162650,161906
81,S,928,927,214522,213598
82,S,928,927,221915,220994
83,S,928,927,218433,217511
84,S,928,927,214927,214008
85,S,928,927,213630,212705
86,S,928,927,210632,209712
87,S,928,927,213349,212431
88,S,928,927,213253,212327
89,A,928,927,927,0
90,D,928,927,430044,429731
AVG,AVG,928,927,215163,214302
91,S,62,61,1004,945
92,S,62,61,994,935
93,S,62,61,857,798
94,S,62,61,977,920
95,S,62,61,1045,989
96,S,62,61,1074,1016
97,S,62,61,1165,1108
98,S,62,61,972,914
99,A,62,61,61,0
100,D,62,61,1891,1890
AVG,AVG,62,61,1004,951.5
101,S,592,591,88351,87767
102,S,592,591,88077,87491
103,S,592,591,87565,86981
104,S,592,591,83878,83294
