Array_No,Type,Size,Comparisons,Swaps
1,S,399,3649,1494
2,S,399,3602,1581
3,S,399,3566,1360
4,S,399,3432,1737
5,S,399,3767,1397
6,S,399,3528,1436
7,S,399,3344,1556
8,S,399,3538,1574
9,A,399,79401,0
10,D,399,65899,225
AVG,AVG,399,17372.6,1236
11,S,454,3848,1970
12,S,454,4134,2033
13,S,454,4573,2553
14,S,454,4264,1920
15,S,454,4820,2534
16,S,454,4607,2194
17,S,454,4043,1680
18,S,454,4205,1761
19,A,454,102831,0
20,D,454,83867,261
AVG,AVG,454,22119.2,1690.6
21,S,262,2098,906
22,S,262,2023,1000
23,S,262,2032,847
24,S,262,2418,1145
25,S,262,2065,734
26,S,262,2109,928
27,S,262,2097,950
28,S,262,2439,796
29,A,262,34191,0
30,D,262,29566,145
AVG,AVG,262,8103.8,745.1
31,S,595,6191,2674
32,S,595,5881,3093
33,S,595,5437,2395
34,S,595,6047,2771
35,S,595,5797,2555
36,S,595,6015,2644
37,S,595,5912,2299
38,S,595,6100,3276
39,A,595,176715,0
40,D,595,139491,343
AVG,AVG,595,36358.6,2205
41,S,759,8123,3212
42,S,759,7885,3106
43,S,759,7478,3794
44,S,759,9112,3816
45,S,759,7863,3694
46,S,759,7771,3820
47,S,759,7602,3078
48,S,759,7963,3429
49,A,759,287661,0
50,D,759,213135,445
AVG,AVG,759,56459.3,2839.4
51,S,896,9492,4732
52,S,896,9023,4078
53,S,896,9604,4006
54,S,896,10316,5123
55,S,896,9618,4420
56,S,896,8682,4026
57,S,896,9175,4206
58,S,896,9754,5207
59,A,896,400960,0
60,D,896,292142,546
AVG,AVG,896,76876.6,3634.4
61,S,940,10580,4587
62,S,940,10877,5657
63,S,940,9931,4345
64,S,940,9921,4051
65,S,940,9179,4058
66,S,940,10345,4610
67,S,940,11081,4688
68,S,940,9881,4122
69,A,940,441330,0
70,D,940,295161,585
AVG,AVG,940,81828.6,3670.3
71,S,805,9362,3587
72,S,805,8500,3935
73,S,805,7940,3808
74,S,805,10287,4340
75,S,805,8014,3617
76,S,805,8433,4105
77,S,805,8573,3537
78,S,805,8073,3679
79,A,805,323610,0
80,D,805,230729,487
AVG,AVG,805,62352.1,3109.5
81,S,928,9114,3882
82,S,928,11225,4786
83,S,928,10405,4575
84,S,928,9694,4044
85,S,928,10999,4686
86,S,928,9475,3680
87,S,928,10624,4433
88,S,928,10252,4139
89,A,928,430128,0
90,D,928,287560,582
AVG,AVG,928,79947.6,3480.7
91,S,62,387,166
92,S,62,406,121
93,S,62,323,141
94,S,62,369,140
95,S,62,326,128
96,S,62,327,131
97,S,62,342,131
98,S,62,300,142
99,A,62,1891,0
100,D,62,1865,32
AVG,AVG,62,653.6,113.2
101,S,592,5872,2570
102,S,592,5849,2278
103,S,592,5792,2870
104,S,592,6212,2934
105,S,592,6008,3300
106,S,592,5813,2502
107,S,592,5846,2011
108,S,592,5492,2490
109,A,592,174936,0
110,D,592,138240,341
AVG,AVG,592,36006,2129.6
111,S,902,9648,4393
112,S,902,9386,4627
113,S,902,10284,5033
114,S,902,9747,3605
115,S,902,9898,3802
116,S,902,11472,5290
117,S,902,9456,4145
118,S,902,9415,3808
119,A,902,406351,0
120,D,902,279403,560
AVG,AVG,902,76506,3526.3
121,S,119,774,323
122,S,119,823,400
123,S,119,700,280
124,S,119,799,309
125,S,119,868,311
126,S,119,768,354
127,S,119,869,331
128,S,119,838,429
129,A,119,7021,0
130,D,119,6841,60
AVG,AVG,119,2030.1,279.7
131,S,881,8871,3953
132,S,881,9334,4005
133,S,881,9453,4422
134,S,881,9876,4888
135,S,881,10145,4390
136,S,881,9647,4289
137,S,881,9458,4417
138,S,881,10385,4236
139,A,881,387640,0
140,D,881,276173,545
AVG,AVG,881,74098.2,3514.5
141,S,399,3993,1495
142,S,399,4425,2196
143,S,399,3590,1740
144,S,399,3516,1659
145,S,399,3430,1388
146,S,399,4446,2031
147,S,399,3774,1684
148,S,399,3895,1777
149,A,399,79401,0
150,D,399,61783,234
AVG,AVG,399,17225.3,1420.4
151,S,496,4402,1771
152,S,496,4736,1865
153,S,496,5019,2634
154,S,496,4370,2156
155,S,496,4719,2128
156,S,496,5231,2377
157,S,496,5094,2394
158,S,496,4629,2175
159,A,496,122760,0
160,D,496,97560,290
AVG,AVG,496,25852,1779
161,S,534,5334,2535
162,S,534,5585,2154
163,S,534,5159,2318
164,S,534,4984,2113
165,S,534,4965,2147
166,S,534,5514,2123
167,S,534,5218,2270
168,S,534,4812,1986
169,A,534,142311,0
170,D,534,119295,306
AVG,AVG,534,30317.7,1795.2
171,S,605,5866,2482
172,S,605,5942,3123
173,S,605,5838,2250
174,S,605,5912,2769
175,S,605,5877,2646
176,S,605,5756,2573
177,S,605,5674,2165
178,S,605,5686,2514
179,A,605,182710,0
180,D,605,139573,355
AVG,AVG,605,36883.4,2087.7
181,S,221,2092,900
182,S,221,1728,721
183,S,221,1990,861
184,S,221,1694,669
185,S,221,1796,783
186,S,221,1852,922
187,S,221,1659,683
188,S,221,1620,768
189,A,221,24310,0
190,D,221,22212,118
AVG,AVG,221,6095.3,642.5
191,S,759,8487,3732
192,S,759,7858,3291
193,S,759,7412,3289
194,S,759,8618,2969
195,S,759,7680,2943
196,S,759,8948,3986
197,S,759,7841,3256
198,S,759,7593,3823
199,A,759,287661,0
200,D,759,210569,455
AVG,AVG,759,56266.7,2774.4
201,S,411,3797,1781
202,S,411,3743,1380
203,S,411,4315,1616
204,S,411,4008,2140
205,S,411,3793,1542
206,S,411,3848,1671
207,S,411,3768,1610
208,S,411,3776,1427
209,A,411,84255,0
210,D,411,71603,233
AVG,AVG,411,18690.6,1340
211,S,190,1451,661
212,S,190,1336,583
213,S,190,1417,587
214,S,190,1441,559
215,S,190,1414,762
216,S,190,1415,623
217,S,190,1443,631
218,S,190,1446,696
219,A,190,17955,0
220,D,190,17209,98
AVG,AVG,190,4652.7,520
221,S,838,8528,3656
222,S,838,9138,3527
223,S,838,9051,4328
224,S,838,9073,3926
225,S,838,8964,3578
226,S,838,9099,3607
227,S,838,8005,3630
228,S,838,8262,3267
229,A,838,350703,0
230,D,838,246656,497
AVG,AVG,838,66747.9,3001.6
231,S,305,2645,1252
232,S,305,2624,1161
233,S,305,2623,1032
234,S,305,2615,1310
235,S,305,2783,1132
236,S,305,2649,1322
237,S,305,2534,812
238,S,305,2928,1415
239,A,305,46360,0
240,D,305,41429,166
AVG,AVG,305,10919,960.2
241,S,343,3230,1255
242,S,343,2868,1535
243,S,343,3135,1167
244,S,343,3014,1230
245,S,343,2741,1206
246,S,343,3407,1147
247,S,343,2945,1230
248,S,343,3283,1758
249,A,343,58653,0
250,D,343,53265,187
AVG,AVG,343,13654.1,1071.5
251,S,375,3298,1350
252,S,375,3989,1971
253,S,375,3403,1715
254,S,375,3394,1675
255,S,375,3373,1450
256,S,375,3200,1522
257,S,375,3074,1339
258,S,375,3673,1371
259,A,375,70125,0
260,D,375,59480,210
AVG,AVG,375,15700.9,1260.3
261,S,245,2035,852
262,S,245,2080,771
263,S,245,2141,1010
264,S,245,1898,849
265,S,245,2012,945
266,S,245,1938,825
267,S,245,1902,953
268,S,245,1914,819
269,A,245,29890,0
270,D,245,27796,132
AVG,AVG,245,7360.6,715.6
271,S,129,752,323
272,S,129,897,436
273,S,129,806,380
274,S,129,886,359
275,S,129,881,440
276,S,129,815,308
277,S,129,931,347
278,S,129,1027,405
279,A,129,8256,0
280,D,129,7421,71
AVG,AVG,129,2267.2,306.9
281,S,985,12602,5222
282,S,985,10822,4569
283,S,985,10505,5035
