Array_No,Type,Size,Passes,Comparisons,Shifts
1,S,399,398,79401,396
2,S,399,398,79401,393
3,S,399,398,79401,394
4,S,399,398,79401,393
5,S,399,398,79401,390
6,S,399,398,79401,394
7,S,399,398,79401,386
8,S,399,398,79401,392
9,A,399,398,79401,0
10,D,399,398,79401,225
AVG,AVG,399,398,79401,336.3
11,S,454,453,102831,449
12,S,454,453,102831,448
13,S,454,453,102831,443
14,S,454,453,102831,449
15,S,454,453,102831,447
16,S,454,453,102831,445
17,S,454,453,102831,450
18,S,454,453,102831,446
19,A,454,453,102831,0
20,D,454,453,102831,261
AVG,AVG,454,453,102831,383.8
21,S,262,261,34191,254
22,S,262,261,34191,252
23,S,262,261,34191,257
24,S,262,261,34191,256
25,S,262,261,34191,258
26,S,262,261,34191,257
27,S,262,261,34191,255
28,S,262,261,34191,255
29,A,262,261,34191,0
30,D,262,261,34191,145
AVG,AVG,262,261,34191,218.9
31,S,595,594,176715,588
32,S,595,594,176715,587
33,S,595,594,176715,591
34,S,595,594,176715,591
35,S,595,594,176715,590
36,S,595,594,176715,581
37,S,595,594,176715,591
38,S,595,594,176715,594
39,A,595,594,176715,0
40,D,595,594,176715,343
AVG,AVG,595,594,176715,505.6
41,S,759,758,287661,752
42,S,759,758,287661,751
43,S,759,758,287661,753
44,S,759,758,287661,749
45,S,759,758,287661,748
46,S,759,758,287661,747
47,S,759,758,287661,754
48,S,759,758,287661,753
49,A,759,758,287661,0
50,D,759,758,287661,445
AVG,AVG,759,758,287661,645.2
51,S,896,895,400960,890
52,S,896,895,400960,888
53,S,896,895,400960,883
54,S,896,895,400960,893
55,S,896,895,400960,883
56,S,896,895,400960,893
57,S,896,895,400960,887
58,S,896,895,400960,890
59,A,896,895,400960,0
60,D,896,895,400960,546
AVG,AVG,896,895,400960,765.3
61,S,940,939,441330,933
62,S,940,939,441330,933
63,S,940,939,441330,931
64,S,940,939,441330,932
65,S,940,939,441330,928
66,S,940,939,441330,927
67,S,940,939,441330,931
68,S,940,939,441330,929
69,A,940,939,441330,0
70,D,940,939,441330,585
AVG,AVG,940,939,441330,802.9
71,S,805,804,323610,799
72,S,805,804,323610,795
73,S,805,804,323610,795
74,S,805,804,323610,797
75,S,805,804,323610,798
76,S,805,804,323610,800
77,S,805,804,323610,796
78,S,805,804,323610,799
79,A,805,804,323610,0
80,D,805,804,323610,487
AVG,AVG,805,804,323610,686.6
81,S,928,927,430128,920
82,S,928,927,430128,925
83,S,928,927,430128,918
84,S,928,927,430128,924
85,S,928,927,430128,920
86,S,928,927,430128,919
87,S,928,927,430128,920
88,S,928,927,430128,918
89,A,928,927,430128,0
90,D,928,927,430128,582
AVG,AVG,928,927,430128,794.6
91,S,62,61,1891,57
92,S,62,61,1891,59
93,S,62,61,1891,57
94,S,62,61,1891,60
95,S,62,61,1891,59
96,S,62,61,1891,60
97,S,62,61,1891,57
98,S,62,61,1891,58
99,A,62,61,1891,0
100,D,62,61,1891,32
AVG,AVG,62,61,1891,49.9
101,S,592,591,174936,584
102,S,592,591,174936,587
103,S,592,591,174936,584
104,S,592,591,174936,587
105,S,592,591,174936,585
106,S,592,591,174936,587
107,S,592,591,174936,584
108,S,592,591,174936,584
109,A,592,591,174936,0
110,D,592,591,174936,341
AVG,AVG,592,591,174936,502.3
111,S,902,901,406351,894
112,S,902,901,406351,893
113,S,902,901,406351,895
114,S,902,901,406351,897
115,S,902,901,406351,892
116,S,902,901,406351,895
117,S,902,901,406351,896
118,S,902,901,406351,895
119,A,902,901,406351,0
120,D,902,901,406351,560
AVG,AVG,902,901,406351,771.7
121,S,119,118,7021,112
122,S,119,118,7021,110
123,S,119,118,7021,115
124,S,119,118,7021,116
125,S,119,118,7021,114
126,S,119,118,7021,111
127,S,119,118,7021,115
128,S,119,118,7021,112
129,A,119,118,7021,0
130,D,119,118,7021,60
AVG,AVG,119,118,7021,96.5
131,S,881,880,387640,876
132,S,881,880,387640,875
133,S,881,880,387640,876
134,S,881,880,387640,877
135,S,881,880,387640,873
136,S,881,880,387640,877
137,S,881,880,387640,874
138,S,881,880,387640,874
139,A,881,880,387640,0
140,D,881,880,387640,545
AVG,AVG,881,880,387640,754.7
141,S,399,398,79401,393
142,S,399,398,79401,393
143,S,399,398,79401,391
144,S,399,398,79401,391
145,S,399,398,79401,392
146,S,399,398,79401,395
147,S,399,398,79401,391
148,S,399,398,79401,394
149,A,399,398,79401,0
150,D,399,398,79401,234
AVG,AVG,399,398,79401,337.4
151,S,496,495,122760,490
152,S,496,495,122760,485
153,S,496,495,122760,490
154,S,496,495,122760,485
155,S,496,495,122760,490
156,S,496,495,122760,486
157,S,496,495,122760,490
158,S,496,495,122760,492
159,A,496,495,122760,0
160,D,496,495,122760,290
AVG,AVG,496,495,122760,419.8
161,S,534,533,142311,527
162,S,534,533,142311,531
163,S,534,533,142311,527
164,S,534,533,142311,527
165,S,534,533,142311,528
166,S,534,533,142311,528
167,S,534,533,142311,523
168,S,534,533,142311,528
169,A,534,533,142311,0
170,D,534,533,142311,306
AVG,AVG,534,533,142311,452.5
171,S,605,604,182710,596
172,S,605,604,182710,601
173,S,605,604,182710,599
174,S,605,604,182710,597
175,S,605,604,182710,600
176,S,605,604,182710,598
177,S,605,604,182710,597
178,S,605,604,182710,597
179,A,605,604,182710,0
180,D,605,604,182710,355
AVG,AVG,605,604,182710,514
181,S,221,220,24310,216
182,S,221,220,24310,215
183,S,221,220,24310,216
184,S,221,220,24310,216
185,S,221,220,24310,211
186,S,221,220,24310,218
187,S,221,220,24310,213
188,S,221,220,24310,216
189,A,221,220,24310,0
190,D,221,220,24310,118
AVG,AVG,221,220,24310,183.9
191,S,759,758,287661,751
192,S,759,758,287661,753
193,S,759,758,287661,755
194,S,759,758,287661,746
195,S,759,758,287661,749
196,S,759,758,287661,751
197,S,759,758,287661,751
198,S,759,758,287661,755
199,A,759,758,287661,0
200,D,759,758,287661,455
AVG,AVG,759,758,287661,646.6
201,S,411,410,84255,406
202,S,411,410,84255,404
